"Timestamp","EventType","PID","ProcessName","ProcessPath","WindowTitle","WindowClass","ParentPID","ParentProcess","IsVisible","WindowStyle","WindowRect","OwnerInfo","CommandLine"
"2026-04-04 16:49:00.334","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:49:00.668","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:49:01.100","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:01.133","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:01.509","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:01.829","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:49.804","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:49:50.171","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:49:50.509","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:49:51.039","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:49:51.470","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:49:51.859","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:49:52.230","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:52.262","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:52.731","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:49:53.065","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:50:00.551","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:50:00.926","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:50:01.370","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:50:01.853","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:50:02.328","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:50:02.815","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:50:03.257","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:50:03.292","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:50:03.761","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:50:04.204","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:51:09.796","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:51:10.154","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:51:10.496","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:51:10.851","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:51:11.199","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:51:11.673","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:51:12.052","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:51:12.115","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
